OrderID,OrderDate,CustomerID,Revenue,Cost,ProductCategory,Region,Profit,Profit_Margin,Year,Month,Quarter
1000,2023-01-01,202,1005.5554566529958,1970-01-01 00:00:00.000000463,Food,West,0,0.0,1970,1,1
1001,2023-01-02,448,893.0517715991637,1970-01-01 00:00:00.000000778,Electronics,South,0,0.0,1970,1,1
1002,2023-01-03,370,867.0456474454431,1970-01-01 00:00:00.000000717,Food,North,0,0.0,1970,1,1
1003,2023-01-04,206,970.6311245571625,1970-01-01 00:00:00.000000998,Electronics,East,0,0.0,1970,1,1
1004,2023-01-05,171,1055.5197253911858,1970-01-01 00:00:00.000000639,Food,East,0,0.0,1970,1,1
1005,2023-01-06,288,808.0058745142308,1970-01-01 00:00:00.000000846,Clothing,North,0,0.0,1970,1,1
1006,2023-01-07,120,1035.6161505966638,1970-01-01 00:00:00.000000669,Food,East,0,0.0,1970,1,1
1007,2023-01-08,202,991.3369539431002,1970-01-01 00:00:00.000000612,Electronics,East,0,0.0,1970,1,1
1008,2023-01-09,221,1283.584816375636,1970-01-01 00:00:00.000000373,Electronics,North,0,0.0,1970,1,1
1009,2023-01-10,314,973.813612923892,1970-01-01 00:00:00.000000708,Clothing,West,0,0.0,1970,1,1
1010,2023-01-11,430,868.7192872174977,1970-01-01 00:00:00.000000473,Food,North,0,0.0,1970,1,1
1011,2023-01-12,187,1478.1928178398016,1970-01-01 00:00:00.000000523,Food,West,0,0.0,1970,1,1
1012,2023-01-13,472,493.320096067477,1970-01-01 00:00:00.000000593,Clothing,East,0,0.0,1970,1,1
1013,2023-01-14,199,1279.8559028904594,1970-01-01 00:00:00.000000558,Food,East,0,0.0,1970,1,1
1014,2023-01-15,459,1194.7981586287513,1970-01-01 00:00:00.000000365,Food,East,0,0.0,1970,1,1
1015,2023-01-16,251,724.7255609125416,1970-01-01 00:00:00.000000480,Electronics,South,0,0.0,1970,1,1
1016,2023-01-17,230,1282.5570484742593,1970-01-01 00:00:00.000000739,Food,West,0,0.0,1970,1,1
1017,2023-01-18,249,1093.2797286823547,1970-01-01 00:00:00.000000701,Food,South,0,0.0,1970,1,1
1018,2023-01-19,408,903.3817623588611,1970-01-01 00:00:00.000000704,Clothing,South,0,0.0,1970,1,1
1019,2023-01-20,357,710.3074395187293,1970-01-01 00:00:00.000000626,Clothing,North,0,0.0,1970,1,1
1020,2023-01-21,443,1141.5282066952602,1970-01-01 00:00:00.000000699,Home Goods,South,0,0.0,1970,1,1
1021,2023-01-22,393,823.8866374058524,1970-01-01 00:00:00.000000636,Electronics,North,0,0.0,1970,1,1
1022,2023-01-23,485,655.5151740443794,1970-01-01 00:00:00.000000574,Food,North,0,0.0,1970,1,1
1023,2023-01-24,291,911.7208369982329,1970-01-01 00:00:00.000000774,Food,South,0,0.0,1970,1,1
1024,2023-01-25,376,884.6335704564542,1970-01-01 00:00:00.000000563,Home Goods,West,0,0.0,1970,1,1
1025,2023-01-26,260,1016.6643196271561,1970-01-01 00:00:00.000000484,Food,West,0,0.0,1970,1,1
1026,2023-01-27,413,955.9285845185603,1970-01-01 00:00:00.000000781,Electronics,West,0,0.0,1970,1,1
1027,2023-01-28,121,1300.2231929873822,1970-01-01 00:00:00.000000785,Home Goods,West,0,0.0,1970,1,1
1028,2023-01-29,352,1174.5997353329305,1970-01-01 00:00:00.000000363,Electronics,West,0,0.0,1970,1,1
1029,2023-01-30,335,957.0927911933953,1970-01-01 00:00:00.000000695,Home Goods,South,0,0.0,1970,1,1
